x1,x2,x3,x4,x5,x6,x7,x8
-584.7525435150643,-544.0280192565963,-560.7869671285389,-534.1181143748915,-531.1783494814416,-509.50516406937356,-511.633972578914,-478.30942458752077
-597.837055226007,-572.9703777884195,-584.2085469014881,-557.36389320429,-556.6345635546354,-530.3701923324634,-542.3774884704333,-499.60085672932007
-599.5997770888598,-566.9365040654734,-581.0941610927383,-564.3324026374089,-550.784843142736,-530.4778786996826,-533.3124708032265,-510.67798475528105
-606.4872152542279,-582.529023610612,-580.0172143389797,-563.1733297298362,-567.5314048728831,-543.4029548477567,-549.373409062572,-521.115748792339
-596.4181151435736,-570.7989919467917,-584.5861948826031,-556.3728084849488,-550.2775705735528,-533.2030765920931,-527.6379168678448,-507.25241255623393
-588.2522511087209,-554.7847530532439,-568.2674416877882,-541.8777599983224,-539.6865627031042,-509.03460801796825,-517.2396380293062,-488.21456105956463
-600.6124554594231,-565.0388984558471,-581.1741773121896,-560.3522967430728,-554.9096361860368,-530.9789020839529,-539.6354889583488,-515.5203448072087
-591.5498125066576,-560.2309945421935,-568.7952106674006,-543.2282557331177,-538.9301964843205,-511.9136070154599,-530.6914401448952,-496.0519810001043
-591.8160090836229,-557.9462519800251,-571.6042076380395,-547.0351658058657,-543.2151720239758,-517.3260186426397,-530.8884160479637,-496.2093310161338
-586.6557217341933,-547.1952274363598,-567.0682229815587,-532.2361425387214,-535.0618304299476,-501.74799107868444,-514.0442529582765,-481.049753580642
-585.7660854493488,-548.1220841087433,-560.4608923545015,-529.0662180577011,-534.0815506818235,-506.67437623120907,-515.7983831580111,-478.46875124835157
-587.6974165941442,-552.48801011584,-566.8998537782353,-544.2953455155454,-535.8492160269798,-510.2525644594869,-524.886959502036,-493.491027868659
-603.7867139751439,-573.6212239358111,-579.7841730965378,-556.926711453179,-558.7759022314674,-530.6109834004359,-534.0241887222298,-504.32618587959985
-593.2361209193097,-571.5648677920485,-585.9849720238462,-550.3651327691585,-551.9198628470699,-533.4422190465757,-531.484469494197,-502.4035723940424
-592.8861651242554,-560.8716127987295,-571.8364110952887,-551.7524912041033,-543.491293323911,-509.69258437691764,-515.70805206151,-498.62673758455816
-584.3104973257338,-551.1372983814426,-561.4841316541715,-530.7246896084741,-532.1340394165907,-507.27290157525795,-508.0551356461366,-479.4682931049033
-601.7402714690062,-566.5799509320979,-581.2339420804675,-557.3296152258191,-546.002336474896,-532.614288456894,-530.9711050405426,-514.3256654058002
-588.7614817178984,-552.1479660315637,-567.0781601371478,-518.6416569284029,-536.9434680736742,-515.2862766452816,-523.4556252817737,-490.15155069291825
-580.064372698671,-539.3420187886358,-555.6029218554032,-525.367208278044,-527.4346383564787,-499.6048157646252,-507.7507535342615,-472.6888025792164
-588.5081603276575,-555.1594998332414,-565.890211807769,-535.0404359503599,-538.204901875422,-514.9911147511566,-517.906563548572,-489.9921875498096
-595.0656642414673,-576.3597705536951,-582.0816632501621,-554.987245717987,-556.8224144675322,-525.0213967694364,-534.5863186334186,-515.1594915646144
-600.6014152713212,-570.306577381561,-570.4745006299875,-554.4322560873998,-551.1952740217748,-529.1977702958297,-528.5043765359687,-499.0366229431036
-595.8394404618934,-562.8486809309984,-580.8702671546177,-552.8209943771376,-550.2890910205917,-529.0771875269521,-529.6122388592366,-506.76071344493425
-586.1204517685163,-554.728536140483,-566.615999935813,-536.964625933056,-538.1155651466123,-517.2102536509325,-524.426460999515,-483.46560655128854
-589.5479407596099,-552.7660695076383,-567.0051921382998,-533.2263117084096,-535.3645249879844,-514.818143364408,-517.6214705603115,-480.13932503013814
-591.7962168386211,-562.9042680344811,-578.9544554183942,-546.9421343347544,-546.0661815061098,-518.3197896676062,-533.0518225337753,-502.07634171413537
-596.9577077528426,-568.065644846005,-574.4967643053049,-551.9458002526671,-550.8005590003968,-527.128738408488,-521.4238542895193,-508.02990090655635
-587.1808465097151,-548.5559355470843,-565.3542865742118,-532.9597557456636,-533.1324346729235,-502.045237150592,-517.5878039535348,-481.86513937302175
-602.3324329882656,-574.8198417762918,-573.0715894536241,-560.5978895017646,-552.154688803741,-533.2458705094936,-531.980046831826,-512.2388836180551
-598.6975989451308,-568.1993864792298,-580.2344580781177,-556.4065051912359,-550.9105330605095,-528.7939141707211,-541.532665256464,-509.3501840577694
-591.3501065099664,-558.4345053640242,-569.2947434212525,-547.8935131410055,-532.5469088052066,-514.6657559806835,-528.6696430555318,-498.8678471413673
-593.8948666399954,-558.1002310041775,-573.302341843025,-541.8909108316425,-541.9810800623424,-516.5553819169236,-526.2437578142446,-501.85220506593356
-589.0019548559372,-559.1269699105309,-563.9478753627818,-543.6220016132497,-541.6807740126721,-526.778864076451,-512.1716110890447,-494.9155880245227
-600.1854172174267,-565.1250563995238,-575.9562406111913,-553.6148831880545,-550.6098984143038,-519.4091782593233,-539.1026081200972,-509.40460538265904
-592.8958943210637,-568.7315654515473,-578.8410699161452,-557.0387357787639,-546.4659427804228,-522.8856139140621,-543.4827155555288,-511.84971348703283
-588.7478324218492,-561.2445507315408,-573.4568287042677,-541.6293841935781,-538.5573176073907,-524.4267237720312,-524.2278405452586,-497.6527791142092
-591.7650988751941,-558.8365545585805,-572.0913061004487,-544.0969938857024,-543.6714899270969,-516.0184028807731,-524.6358568110318,-502.2087878046497
-592.7923380569823,-570.8217681911578,-575.2634067414881,-552.0250315988585,-546.6812916448241,-520.6157667772384,-536.1664077314763,-503.59445054610296
-599.4098806063408,-570.7471480596263,-572.3588859882551,-552.4354608323637,-546.7112241561908,-533.4578555658221,-541.1711629991255,-513.0819172071728
-608.8698122273667,-579.087143445924,-578.1160387290741,-552.9747401524085,-557.6259307380196,-540.1871391984553,-550.0625059469197,-505.77728814658246
-601.4661885983294,-566.2633422526841,-588.6230023277561,-558.0462593371436,-556.7712955933961,-537.4399099636852,-546.5009050856995,-518.3624427109388
-590.3861015167022,-577.0830611889563,-586.4967041816188,-562.4070697868095,-557.564255160151,-522.4222188436421,-544.5592859715598,-516.207136949388
